fileName,displayName,description,type
"2000_Shop3","2000_Shop3","　","bgm"
"2000_Thief","2000_Thief","　","bgm"
"2000_Town1","2000_Town1","　","bgm"
"2000_Town2","2000_Town2","　","bgm"
"2000_Town3","2000_Town3","　","bgm"
"2000_Village1","2000_Village1","　","bgm"
"2000_Village2","2000_Village2","　","bgm"
"Battle 1","Battle 1","　","bgm"
"Battle 2","Battle 2","　","bgm"
"Battle1","Battle1","　","bgm"
"Battle2","Battle2","　","bgm"
"Battle3","Battle3","　","bgm"
"Battle4","Battle4","　","bgm"
"Battle5","Battle5","　","bgm"
"Battle6","Battle6","　","bgm"
"Battle7","Battle7","　","bgm"
"Battle8","Battle8","　","bgm"
"Battle_-_Barbarians_Arrive","Battle_-_Barbarians_Arrive","　","bgm"
"Battle_-_Daring_Duelists","Battle_-_Daring_Duelists","　","bgm"
"Battle_-_Final_Confrontation","Battle_-_Final_Confrontation","　","bgm"
"Battle_-_Guardians_Pledge","Battle_-_Guardians_Pledge","　","bgm"
"Battle_-_Soaring_Sorcery","Battle_-_Soaring_Sorcery","　","bgm"
"Battle_-_To_The_King","Battle_-_To_The_King","　","bgm"
"Battle_-_Turn_The_Tables","Battle_-_Turn_The_Tables","　","bgm"
"Battle_-_Warriors_Heart","Battle_-_Warriors_Heart","　","bgm"
"Bgm_Fantasy1_01","Bgm_Fantasy1_01","　","bgm"
"Bgm_Fantasy1_02","Bgm_Fantasy1_02","　","bgm"
"Bgm_Fantasy1_03","Bgm_Fantasy1_03","　","bgm"
"Bgm_Fantasy1_04","Bgm_Fantasy1_04","　","bgm"
"Bgm_Fantasy1_05","Bgm_Fantasy1_05","　","bgm"
"Bgm_Fantasy1_06","Bgm_Fantasy1_06","　","bgm"
"Bgm_Fantasy1_07","Bgm_Fantasy1_07","　","bgm"
"Bgm_Fantasy1_08","Bgm_Fantasy1_08","　","bgm"
"Bgm_Fantasy1_09","Bgm_Fantasy1_09","　","bgm"
"Bgm_Fantasy1_10","Bgm_Fantasy1_10","　","bgm"
"Bgm_Fantasy1_11","Bgm_Fantasy1_11","　","bgm"
"Bgm_Fantasy1_12","Bgm_Fantasy1_12","　","bgm"
"Bgm_Fantasy1_13","Bgm_Fantasy1_13","　","bgm"
"Bgm_Fantasy1_14","Bgm_Fantasy1_14","　","bgm"
"Bgm_Fantasy1_15","Bgm_Fantasy1_15","　","bgm"
"Bgm_Fantasy1_16","Bgm_Fantasy1_16","　","bgm"
"Bgm_Fantasy1_17","Bgm_Fantasy1_17","　","bgm"
"Bgm_Fantasy1_18","Bgm_Fantasy1_18","　","bgm"
"Bgm_Fantasy1_19","Bgm_Fantasy1_19","　","bgm"
"Bgm_Fantasy1_20","Bgm_Fantasy1_20","　","bgm"
"Bgm_Fantasy1_21","Bgm_Fantasy1_21","　","bgm"
"Bgm_Fantasy1_22","Bgm_Fantasy1_22","　","bgm"
"Bgm_Fantasy1_23","Bgm_Fantasy1_23","　","bgm"
"Bgm_Fantasy1_24","Bgm_Fantasy1_24","　","bgm"
"Bgm_Fantasy1_25","Bgm_Fantasy1_25","　","bgm"
"Bgm_Fantasy1_26","Bgm_Fantasy1_26","　","bgm"
"Bgm_Fantasy1_27","Bgm_Fantasy1_27","　","bgm"
"Bgm_Fantasy1_28","Bgm_Fantasy1_28","　","bgm"
"Bgm_Fantasy1_29","Bgm_Fantasy1_29","　","bgm"
"Bgm_Fantasy1_30","Bgm_Fantasy1_30","　","bgm"
"Bgm_Fantasy1_31","Bgm_Fantasy1_31","　","bgm"
"Bgm_Fantasy1_32","Bgm_Fantasy1_32","　","bgm"
"Bgm_Fantasy1_33","Bgm_Fantasy1_33","　","bgm"
"Bgm_Fantasy1_34","Bgm_Fantasy1_34","　","bgm"
"Bgm_Fantasy1_35","Bgm_Fantasy1_35","　","bgm"
"Bgm_Fantasy1_36","Bgm_Fantasy1_36","　","bgm"
"Bgm_Fantasy1_37","Bgm_Fantasy1_37","　","bgm"
"Bgm_Fantasy1_38","Bgm_Fantasy1_38","　","bgm"
"Bgm_Fantasy1_39","Bgm_Fantasy1_39","　","bgm"
"Bgm_Fantasy1_40","Bgm_Fantasy1_40","　","bgm"
"Bgm_Fantasy1_41","Bgm_Fantasy1_41","　","bgm"
"Bgm_Fantasy1_42","Bgm_Fantasy1_42","　","bgm"
"Boss Battle 1","Boss Battle 1","　","bgm"
"Boss Battle 2","Boss Battle 2","　","bgm"
"Castle","Castle","　","bgm"
"Castle1","Castle1","　","bgm"
"Castle2","Castle2","　","bgm"
"Castle3","Castle3","　","bgm"
"Catacombs","Catacombs","　","bgm"
"Church","Church","　","bgm"
"Class_-_Black_Magic","Class_-_Black_Magic","　","bgm"
"Class_-_Dueling_Final_Exam","Class_-_Dueling_Final_Exam","　","bgm"
"Class_-_Dueling_Practice","Class_-_Dueling_Practice","　","bgm"
"Class_-_General_Wizardry","Class_-_General_Wizardry","　","bgm"
"Class_-_Magical_Creature_Care","Class_-_Magical_Creature_Care","　","bgm"
"Class_-_Peculiar_Potions","Class_-_Peculiar_Potions","　","bgm"
"Class_-_Prophecies","Class_-_Prophecies","　","bgm"
"Credits","Credits","　","bgm"
"DFM1_BGM_battle1","DFM1_BGM_battle1","　","bgm"
"DFM1_BGM_battle2","DFM1_BGM_battle2","　","bgm"
"DFM1_BGM_bossbattle","DFM1_BGM_bossbattle","　","bgm"
"DFM1_BGM_city_today","DFM1_BGM_city_today","　","bgm"
"DFM1_BGM_deep_forest","DFM1_BGM_deep_forest","　","bgm"
"DFM1_BGM_downtown","DFM1_BGM_downtown","　","bgm"
"DFM1_BGM_dungeon_fire","DFM1_BGM_dungeon_fire","　","bgm"
"DFM1_BGM_dungeon_water_ice","DFM1_BGM_dungeon_water_ice","　","bgm"
"DFM1_BGM_graveyard_ruin","DFM1_BGM_graveyard_ruin","　","bgm"
"DFM1_BGM_lastboss","DFM1_BGM_lastboss","　","bgm"
"DFM1_BGM_military_fortress","DFM1_BGM_military_fortress","　","bgm"
"DFM1_BGM_newworld","DFM1_BGM_newworld","　","bgm"
"DFM1_BGM_saint_church","DFM1_BGM_saint_church","　","bgm"
"DFM1_BGM_sky","DFM1_BGM_sky","　","bgm"
"DFM1_BGM_slum","DFM1_BGM_slum","　","bgm"
"DFM1_BGM_space_opera","DFM1_BGM_space_opera","　","bgm"
"DFM1_BGM_town_countryside","DFM1_BGM_town_countryside","　","bgm"
"DFM1_BGM_twilight_city","DFM1_BGM_twilight_city","　","bgm"
"Drama_-_Dark_Deeds","Drama_-_Dark_Deeds","　","bgm"
"Drama_-_Death_And_Despair","Drama_-_Death_And_Despair","　","bgm"
"Drama_-_Gift_Of_Wisdom","Drama_-_Gift_Of_Wisdom","　","bgm"
"Drama_-_Melancholy_Memories","Drama_-_Melancholy_Memories","　","bgm"
"Drama_-_Sneaky_Students","Drama_-_Sneaky_Students","　","bgm"
"Drama_-_Toil_And_Trouble","Drama_-_Toil_And_Trouble","　","bgm"
"Drama_-_Tomfoolery","Drama_-_Tomfoolery","　","bgm"
"Dungeon 1","Dungeon 1","　","bgm"
"Dungeon 2","Dungeon 2","　","bgm"
"Dungeon 3","Dungeon 3","　","bgm"
"Dungeon 4","Dungeon 4","　","bgm"
"Dungeon1","Dungeon1","　","bgm"
"Dungeon2","Dungeon2","　","bgm"
"Dungeon3","Dungeon3","　","bgm"
"Dungeon4","Dungeon4","　","bgm"
"Dungeon5","Dungeon5","　","bgm"
"Dungeon6","Dungeon6","　","bgm"
"Dungeon7","Dungeon7","　","bgm"
"Dungeon_-_City_Catacombs","Dungeon_-_City_Catacombs","　","bgm"
"Dungeon_-_Count_Crowleys_Cellar","Dungeon_-_Count_Crowleys_Cellar","　","bgm"
"Dungeon_-_Down_In_The_Cellar","Dungeon_-_Down_In_The_Cellar","　","bgm"
"Dungeon_-_Hidden_Temple","Dungeon_-_Hidden_Temple","　","bgm"
"Dungeon_-_Secret_Chambers","Dungeon_-_Secret_Chambers","　","bgm"
"Dungeon_-_Under_The_Castle","Dungeon_-_Under_The_Castle","　","bgm"
"Field1","Field1","　","bgm"
"Field2","Field2","　","bgm"
"Field3","Field3","　","bgm"
"Field4","Field4","　","bgm"
"Field_-_Adventurers_Road","Field_-_Adventurers_Road","　","bgm"
"Field_-_Ride_Swiftly","Field_-_Ride_Swiftly","　","bgm"
"Field_-_Wilderness_Paths","Field_-_Wilderness_Paths","　","bgm"
"Jingle_Fantasy1_01","Jingle_Fantasy1_01","　","bgm"
"Jingle_Fantasy1_02","Jingle_Fantasy1_02","　","bgm"
"Jingle_Fantasy1_03","Jingle_Fantasy1_03","　","bgm"
"Jingle_Fantasy1_04","Jingle_Fantasy1_04","　","bgm"
"Jingle_Fantasy1_05","Jingle_Fantasy1_05","　","bgm"
"Jingle_Fantasy1_06","Jingle_Fantasy1_06","　","bgm"
"Jingle_Fantasy1_07","Jingle_Fantasy1_07","　","bgm"
"Jingle_Fantasy1_08","Jingle_Fantasy1_08","　","bgm"
"Jingle_Fantasy1_09","Jingle_Fantasy1_09","　","bgm"
"Jingle_Fantasy1_10","Jingle_Fantasy1_10","　","bgm"
"Jingle_Fantasy1_11","Jingle_Fantasy1_11","　","bgm"
"KBF_Dungeon_Natural_09_A","KBF_Dungeon_Natural_09_A","　","bgm"
"KBF_Dungeon_Natural_09_B","KBF_Dungeon_Natural_09_B","　","bgm"
"KBF_Dungeon_Natural_10_A","KBF_Dungeon_Natural_10_A","　","bgm"
"KBF_Dungeon_Natural_10_B","KBF_Dungeon_Natural_10_B","　","bgm"
"KBF_Dungeon_Natural_EW01","KBF_Dungeon_Natural_EW01","　","bgm"
"KBF_Dungeon_Natural_EW02_A","KBF_Dungeon_Natural_EW02_A","　","bgm"
"KBF_Dungeon_Natural_EW02_B","KBF_Dungeon_Natural_EW02_B","　","bgm"
"KBF_Dungeon_Natural_EW03","KBF_Dungeon_Natural_EW03","　","bgm"
"KBF_Dungeon_Natural_EW04","KBF_Dungeon_Natural_EW04","　","bgm"
"KBF_Dungeon_Natural_EW05","KBF_Dungeon_Natural_EW05","　","bgm"
"KBF_Dungeon_Tower_08","KBF_Dungeon_Tower_08","　","bgm"
"KBF_Dungeon_Tower_09","KBF_Dungeon_Tower_09","　","bgm"
"KBF_Dungeon_Tower_10","KBF_Dungeon_Tower_10","　","bgm"
"KBF_Dungeon_Tower_EW01","KBF_Dungeon_Tower_EW01","　","bgm"
"KBF_Dungeon_Unnatural_08","KBF_Dungeon_Unnatural_08","　","bgm"
"KBF_Dungeon_Unnatural_09","KBF_Dungeon_Unnatural_09","　","bgm"
"KBF_Dungeon_Unnatural_10","KBF_Dungeon_Unnatural_10","　","bgm"
"KBF_Dungeon_Unnatural_EW01","KBF_Dungeon_Unnatural_EW01","　","bgm"
"KBF_Dungeon_Unnatural_EW02","KBF_Dungeon_Unnatural_EW02","　","bgm"
"KBF_Field_Land_07_A","KBF_Field_Land_07_A","　","bgm"
"KBF_Field_Land_07_B","KBF_Field_Land_07_B","　","bgm"
"KBF_Field_Land_07_C","KBF_Field_Land_07_C","　","bgm"
"KBF_Field_Land_08_A","KBF_Field_Land_08_A","　","bgm"
"KBF_Field_Land_08_B","KBF_Field_Land_08_B","　","bgm"
"KBF_Field_Land_08_C","KBF_Field_Land_08_C","　","bgm"
"KBF_Field_Land_09","KBF_Field_Land_09","　","bgm"
"KBF_Field_Land_EW01_A","KBF_Field_Land_EW01_A","　","bgm"
"KBF_Field_Land_EW01_B","KBF_Field_Land_EW01_B","　","bgm"
"KBF_Town_Castle_05","KBF_Town_Castle_05","　","bgm"
"KBF_Town_Castle_06","KBF_Town_Castle_06","　","bgm"
"KBF_Town_Castle_07","KBF_Town_Castle_07","　","bgm"
"KBF_Town_Castle_EW01_A","KBF_Town_Castle_EW01_A","　","bgm"
"KBF_Town_Castle_EW01_B","KBF_Town_Castle_EW01_B","　","bgm"
"KBF_Town_Church_03","KBF_Town_Church_03","　","bgm"
"KBF_Town_Church_04","KBF_Town_Church_04","　","bgm"
"KBF_Town_Church_05","KBF_Town_Church_05","　","bgm"
"KBF_Town_Church_EW01_A","KBF_Town_Church_EW01_A","　","bgm"
"KBF_Town_Church_EW01_B","KBF_Town_Church_EW01_B","　","bgm"
"KBF_Town_City_09_A","KBF_Town_City_09_A","　","bgm"
"KBF_Town_City_09_B","KBF_Town_City_09_B","　","bgm"
"KBF_Town_City_10","KBF_Town_City_10","　","bgm"
"KBF_Town_City_11","KBF_Town_City_11","　","bgm"
"KBF_Town_City_EW01","KBF_Town_City_EW01","　","bgm"
"KBF_Town_City_EW02","KBF_Town_City_EW02","　","bgm"
"KBF_Town_City_EW03","KBF_Town_City_EW03","　","bgm"
"KBF_Town_City_EW04_A","KBF_Town_City_EW04_A","　","bgm"
"KBF_Town_City_EW04_B","KBF_Town_City_EW04_B","　","bgm"
"KBF_Town_City_EW05","KBF_Town_City_EW05","　","bgm"
"KBF_Town_Village_08","KBF_Town_Village_08","　","bgm"
"KBF_Town_Village_09","KBF_Town_Village_09","　","bgm"
"KBF_Town_Village_10","KBF_Town_Village_10","　","bgm"
"KBF_Town_Village_11_A","KBF_Town_Village_11_A","　","bgm"
"KBF_Town_Village_11_B","KBF_Town_Village_11_B","　","bgm"
"KBF_Town_Village_EW01","KBF_Town_Village_EW01","　","bgm"
"KBF_Town_Village_EW02","KBF_Town_Village_EW02","　","bgm"
"Romance_-_First_Kiss","Romance_-_First_Kiss","　","bgm"
"Romance_-_Innocent_Hearts","Romance_-_Innocent_Hearts","　","bgm"
"Scene1","Scene1","　","bgm"
"Scene2","Scene2","　","bgm"
"Scene3","Scene3","　","bgm"
"Scene4","Scene4","　","bgm"
"Scene5","Scene5","　","bgm"
"Scene6","Scene6","　","bgm"
"Scene7","Scene7","　","bgm"
"Scene8","Scene8","　","bgm"
"Ship1","Ship1","　","bgm"
"Ship2","Ship2","　","bgm"
"Ship3","Ship3","　","bgm"
"Theme 1","Theme 1","　","bgm"
"Theme 2","Theme 2","　","bgm"
"Theme1","Theme1","　","bgm"
"Theme2","Theme2","　","bgm"
"Theme3","Theme3","　","bgm"
"Theme4","Theme4","　","bgm"
"Theme5","Theme5","　","bgm"
"Theme6","Theme6","　","bgm"
"Theme_-_A_Maiden_Fair","Theme_-_A_Maiden_Fair","　","bgm"
"Theme_-_Knights_Tale","Theme_-_Knights_Tale","　","bgm"
"Theme_-_Magical_Moments","Theme_-_Magical_Moments","　","bgm"
"Theme_-_Tournament_Fanfare","Theme_-_Tournament_Fanfare","　","bgm"
"Theme_-_Unexpected_Reunion","Theme_-_Unexpected_Reunion","　","bgm"
"Theme_-_Welcome_To_School","Theme_-_Welcome_To_School","　","bgm"
"Town Theme","Town Theme","　","bgm"
"Town1","Town1","　","bgm"
"Town2","Town2","　","bgm"
"Town3","Town3","　","bgm"
"Town4","Town4","　","bgm"
"Town5","Town5","　","bgm"
"Town6","Town6","　","bgm"
"Town7","Town7","　","bgm"
"Town8","Town8","　","bgm"
"Town_-_Country_Market","Town_-_Country_Market","　","bgm"
"Town_-_Noble_Houses","Town_-_Noble_Houses","　","bgm"
"Town_-_Palace_Chambers","Town_-_Palace_Chambers","　","bgm"
"Town_-_Royal_Court","Town_-_Royal_Court","　","bgm"
"Town_-_Stone_Keep","Town_-_Stone_Keep","　","bgm"
"VictoryLoop1","VictoryLoop1","　","bgm"
"VictoryLoop2","VictoryLoop2","　","bgm"
